x y
989.7714275779612 1203.0652275523125
821.7042893855757 511.0994289789613
990.4338824606017 1179.1675530194398
700.6078326311354 989.1649012052482
1511.617640780837 403.4901415883295
1505.5654850442793 395.29727217663407
794.2038030181282 500.28845826932627
701.2504349893718 995.9413125987024
798.9408217719463 497.6176152160223
977.7163678551395 1201.2122270247253
1003.4082335721118 1225.7327229019602
1502.901152034839 391.03722454136664
999.5402333920333 1199.6911583965405
792.9905411494144 508.5685027567706
800.2224532188692 520.0025935335063
691.1706927395522 999.3136707396498
1499.978766901135 397.3976735561003
799.1080120355014 500.7678031613268
1496.1379130619255 419.9388576717052
991.4366413926784 1210.2683522779614
796.5722687990532 497.74829997231444
704.6373580179132 990.5910253344484
683.4876986429572 1013.6077443168073
1506.8376149171495 383.66771099855805
695.1117035712994 1002.915516456209
1486.6093448972956 389.90038672828354
1005.2867691991066 1199.2418756718664
695.3899912743099 1002.3713334619733
702.7360331822476 1007.7747416571809
1005.4085856338991 1190.8445394959097
776.3405454441768 496.2933266762054
1516.9949279591517 392.02705645264035
715.1469722846551 996.4918508508617
1493.3026670836139 405.7024405881438
791.8267744854915 497.601302354185
1499.1747253020717 406.1612891243462
996.3652919126487 1214.4283103609598
806.360066267666 497.14062333398556
690.0533812360003 1017.9637040210205
998.8649253672065 1202.3476459099895
